sp002-000001_KS_04	mUrcCitA ratiH ityuktam
sp002-002547_RV_07	tO eva vyaSvO nazwASvO santO gadAByAm vyAyataH dIrGaH samprahAraH yudDam yayoH tO aBUtAm
sp002-002548_RV_07	tatO BagnAyuDO BagnagadO santO bAhuvimarde nizWA nASaH yayoH tO bAhuyudDasaktO aBUtAm
sp002-002549_RV_07	nizWA nizpattinASAntAH ityamaraH
sp002-002550_RV_07	paraspareReti
sp002-002551_RV_07	paraspareRa anyonyam kzatayoH kzatatanvoH samakAlam ekakAlam yaTA taTA utkrAntavAyvoH yugapad udgataprARayoH
sp002-002552_RV_07	ekEva apsarAH prArTitA yAByAm tayoH ekApsaraHprArTitayoH
sp002-002553_RV_07	prArTitEkApsarasoH ityarTaH
sp002-002554_RV_07	vA AhitAgnyAdizu iti paranipAtaH
sp002-002555_RV_07	aTavA ekasyAm apsarasi prArTitam prArTanA yayoH iti vigrahaH
sp002-002556_RV_07	striyAm bahuzu apsarasaH iti bahutvABiDAnam prAyikam
sp002-002557_RV_07	kayoScit prahartroH yoDayoH amartyaBAve api devatve api vivAdaH kalaha AsIt
sp002-002558_RV_07	ekAmizABilAzo hi mahadvErabIjamiti BAvaH
sp002-002559_RV_07	vyUhAviti
sp002-002560_RV_07	tO uBO vyUhO senAsaNGAtO
sp002-002561_RV_07	vyUhastu balavinyAsaH ityamaraH
sp002-002562_RV_07	paScAtpuraSca yO mArutO tayoH paryAyavfttyA kramavfttyA pravfdDO mahArRavormI iva
sp002-002563_RV_07	itaretarasmAt anyonyasmAt avyavasTam vyavasTArahitam aniyatam jayam BaNgam parAjayam ca ApatuH prAptavantO
sp002-002564_RV_07	pareReti
sp002-002565_RV_07	bale svasEnye pareRa parabalena Bagne api mahOjAH mahAbalaH ajaH arisEnyam pratyeva yayO
sp002-002566_RV_07	taTAhi
sp002-002567_RV_07	samIraRena vAyunA DUmo nivartyeta kakzAt apasAryeta vartateH RyantAtkarmaRi samBAvanAyAm liN
sp002-002568_RV_07	vahnistu yataH yatra kakzastfRam
sp002-002569_RV_07	kakzO tu tfRavIruDO ityamaraH
sp002-002570_RV_07	tata eva tatra iva
sp002-002571_RV_07	pravartate iti SezaH
sp002-002572_RV_07	sArvaviBaktikaH tasiH
sp002-002573_RV_07	raTIti
sp002-002574_RV_07	raTI raTArUQo nizaNgI tURIravAn
sp002-002575_RV_07	tURopasaNgA tURIranizaNgA izuDiH dvayoH ityamaraH
sp002-002576_RV_07	kavacI varmaDaraH DanuzmAn DanurDaraH dfptaH raRadfptaH ekavIraH
sp002-002577_RV_07	asahAyaSUraH saH ajaH rAjanyakam rAjasamUham
sp002-002578_RV_07	gotrokza ityAdinA vuYpratyayaH
sp002-002579_RV_07	mahAvarAhaH varAhAvatAro vizRuH kalpakzaye kalpAntakAle udvfttam udvelam arRavAmBa iva
sp002-002580_RV_07	nivArayAmAsa
sp002-002581_RV_07	sa iti
sp002-002582_RV_07	saH ajaH
sp002-002583_RV_07	AjO saNgrAme dakziRam hastam tURamuKena nizaNgavivareRa vAmam atisundaram
sp002-002584_RV_07	vAmam savye pratIpe ca draviRe ca atisundare iti viSvaH
sp002-002585_RV_07	vyApArayan alakzyatA
sp002-002586_RV_07	SarasanDAnAdayastu durlakzyA ityarTaH
sp002-002587_RV_07	sakft AkarRakfzwA
sp002-002588_RV_07	yodDuH asya ajasya mOrvI jyA ripUnGnantIti ripuGnAH
sp002-002589_RV_07	tAn
sp002-002590_RV_07	amanuzyakartfke ca iti WakpratyayaH
sp002-002591_RV_07	bARAnsuzuva iva suzuve kimu
sp002-002592_RV_07	ityutprekzA
sp002-002593_RV_07	sa iti
sp002-002594_RV_07	saH ajaH rozeRa dazwA ata eva aDikalohitA ozWAH yezAm tAni tEH
sp002-002595_RV_07	vyaktA UrDvA reKA yAsAm tA BrukuwIH BrUBaNgAnvahadBiH
sp002-002596_RV_07	BallanikfttA bARaviSezacCinnAH kaRWA yezAm tEH
sp002-002597_RV_07	hUNkAragarBEH sahUNkArEH
sp002-002598_RV_07	hUNkurvadBiH ityarTaH
sp002-002599_RV_07	dvizatAm SiroBiH gAm BUmim tastAra CAdayAmAsa
sp002-002600_RV_07	sarvEriti
sp002-002601_RV_07	dviradapraDAnEH gajamuKyEH sarvErbalANgEH senANgEH
sp002-002602_RV_07	hastyaSvaraTapAdAtam senANgam syAt catuzwayam ityamaraH
sp002-002603_RV_07	kaNkawaBediBiH kavacaBediBiH
sp002-002604_RV_07	uraSCadaH kaNkawako ajagaraH kavacostriyAm ityamaraH
sp002-002605_RV_07	sarvAyuDESca
sp002-002606_RV_07	bAhyabalamuktvA AntaramAha sarvaprayatnena ca sarve eva BUmipAlAH yuDi tasmin aje prajahruH
sp002-002607_RV_07	tam prajahruH ityarTaH
sp002-002608_RV_07	sarvatra sarvakArakaSaktisamBavAt karmaRaH api aDikaraRavivakzAyAm saptamI
sp002-002609_RV_07	taduktam anekaSaktiyuktasya viSvasyAnekakarmaRaH
sp002-002610_RV_07	sarvadA sarvaTABAvAt kvacit kiYcit vivakzyate
sp002-002611_RV_07	iti
sp002-002612_RV_07	sa iti
sp002-002613_RV_07	parezAm dvizAm astravrajEH CannaraTaH saH ajaH
sp002-002614_RV_07	nIhArEH himEH magnaH dinapUrvaBAgaH prAtaHkAlaH kiYcitprakASena Izat lakzyeRa vivasvatA iva
sp002-002615_RV_07	DvajAgramAtreRa lakzyo baBUva
sp002-002616_RV_07	DvajAgrAdanyat na kiYcit lakzyate sma ityarTaH
sp002-002617_RV_07	priyaMvadAditi
sp002-002618_RV_07	kusumAstrakAntaH madanasundaraH svapnanivfttalOlyaH svapnavitfzRaH
sp002-002619_RV_07	jAgarUkaH ityarTaH
sp002-002620_RV_07	asO kumAraH ajaH priyaMvadAt pUrvoktAt ganDarvAtprAptam gAnDarvam ganDarvadevatAkam
sp002-002621_RV_07	sAsya devatA ityaR
sp002-002622_RV_07	prasvApayatIti prasvApanam nidrAjanakamastram rAjasu prAyuNkta prayuktavAn
sp002-002623_RV_07	tata iti
sp002-002624_RV_07	tataH DanuzkarzaRe cApakarzaRe mUQahastam avyApftahastam
sp002-002625_RV_07	ekasminnaMse paryastam srastam SirastrARAm SIrzaRyAnAm jAlam samUho yasya tat
sp002-002626_RV_07	DvajastamBezu nizaRRAH avazwabDAH dehAH yasya tat
sp002-002627_RV_07	naradevAnAm rAjYAm senA eva sEnyam
sp002-002628_RV_07	cAturvarRyAditvAtsvArTe zyaYpratyayaH
sp002-002629_RV_07	nidrAviDeyam nidrAparatantram tasTO
sp002-002630_RV_07	tata iti
sp002-002631_RV_07	tataH kumAraH ajaH priyayA indumatyA upAttarase AsvAditamADurye
sp002-002632_RV_07	atiSlAGye iti BAvaH
sp002-002633_RV_07	aDarozWe jalajam SaNKam niveSya
sp002-002634_RV_07	jalajam SaNKapadmayoH iti viSvaH
sp002-002635_RV_07	daDmO muKamArutena pUrayAmAsa
sp002-002636_RV_07	tena ozWanivizwena SaNKena ekavIraH saH svahastArjitam mUrtam mUrtimadyaSaH pibanniva AbaBAse
sp002-002637_RV_07	yaSasaH SuBratvAditi BAvaH
sp002-002638_RV_07	SaNKeti
sp002-002639_RV_07	SaNKasvanasya ajaSaNKaDvaneH aBijYatayA pratyaBijYAtatvAt nivfttAH prAkpalAyya
sp002-002640_RV_07	samprati pratyAgatAH svayoDAH san aSatrum nidrARaSatrum tamajam
sp002-002641_RV_07	nimIlitAnAm mukulitAnAm paNkajAnAm maDye sPurantam pratimA ca asO SaSANkaSca tam pratimASaSANkam pratibimbacandramiva
sp002-002642_RV_07	dadfSuH
sp002-002643_RV_07	saSoRitEriti
sp002-002644_RV_07	samprati rAGaveRa raGuputreRa
sp002-002645_RV_07	pUrvam raGuRA iti BAvaH
sp002-002646_RV_07	he rAjAnaH vo yuzmAkam yaSo hftam jIvitam tu kfpayA na hftam
sp002-002647_RV_07	na tu aSaktyA iti BAvaH
sp002-002648_RV_07	ityevaMrUpA varRAH
sp002-002649_RV_07	etadarTapratipAdakam vAkyamityarTaH
sp002-002650_RV_07	saSoRitEH SoRitadigDEH SilImuKAgrEH bARAgrEH sADanEH tena ajena prayojakakartrA
sp002-002651_RV_07	pArTivAnAm rAjYAm ketuzu DvajastamBezu nikzepitAH prayojyEH anyEH niveSitAH
sp002-002652_RV_07	leKitA ityarTaH
sp002-002653_RV_07	kzipaterRyantAtkarmaRi ktaH
sp002-002654_RV_07	sa iti
sp002-002655_RV_07	cApakowyAm nihitaH ekabAhuH yena saH
sp002-002656_RV_07	Sirastrasya nikarzaRena apanayanena BinnamOliH SlaTakeSabanDaH
sp002-002657_RV_07	cUqAkirIwam keSASca saMyatA mOlayastrayaH ityamaraH
sp002-002658_RV_07	lalAwe badDAH SramavAribindavaH yasya saH
sp002-002659_RV_07	saH ajaH BItAm priyAm indumatIm etya AsAdya vaco baBAze
sp002-002660_RV_07	ita iti
sp002-002661_RV_07	he vEdarBi indumati itaH idAnIm arBakahAryaSastrAn bAlakApahArya AyuDAn parAn SatrUn paSya
sp002-002662_RV_07	mayA anumatAsi
sp002-002663_RV_07	drazwumiti SezaH
sp002-002664_RV_07	eBirnfpEH eva evam viDena nidrArUpeRa Ahavacezwitena raRakarmaRA mama hastagatA
sp002-002665_RV_07	hastagatavat durgrahA ityarTaH
sp002-002666_RV_07	tvam prArTyase
sp002-002667_RV_07	apajihIrzyase ityarTaH
sp002-002668_RV_07	evaMviDena ityatra svahastanirdeSena sopahAsam uvAca iti drazwavyam
sp002-002669_RV_07	tasyA iti
sp002-002670_RV_07	pratidvandviBavAt ripUtTAt vizAdAt dEnyAt sadyaH vimuktam tasyAH muKam
sp002-002671_RV_07	niSvAsasya yaH vAzpaH UzmA
sp002-002672_RV_07	vAzpo netrajalozmaRoH iti viSvaH
sp002-002673_RV_07	tasya apagamAdDetoH AtmIyam prasAdam nErmalyam prapannaH prAptaH
sp002-002674_RV_07	AtmA svarUpam dfSyate anena iti AtmadarSaH
sp002-002675_RV_07	darpaRa iva
sp002-002676_RV_07	AbaBAse
sp002-002677_RV_07	hfzweti
sp002-002678_RV_07	sA indumatI hfzwApi patyuH pOruzeRa pramuditApi hriyA vijitA yataH ataH
sp002-002679_RV_07	priyam ajam sAkzAt svayam nAByanandat na praSaSaMsa
sp002-002680_RV_07	kintu navEH amBaHpfzatEH payobinduBiH aBivfzwA aBiziktA sTalI akftrimA BUmiH
sp002-002681_RV_07	jAnapadakuRqagoRasTala ityAdinA akftrimArTe NIz
sp002-002682_RV_07	aBravfndam meGasaNGam mayUrakekABiH iva
sp002-002683_RV_07	saKInAm vAgBiH aByanandat
sp002-002684_RV_07	itIti
sp002-002685_RV_07	nodyate nocyate iti avadyam garhyam
sp002-002686_RV_07	avadyapaRya ityAdinA nipAtaH
sp002-002687_RV_07	kupUyakutsitA avadyaKewagarhyARakAH samAH ityamaraH
sp002-002688_RV_07	tasmAd apetaH
sp002-002689_RV_07	rahitaH nirdozaH ityarTaH
sp002-002690_RV_07	saH ajaH iti rAjYAm Sirasi vAmam pAdamADAya anavadyAm adozAm tAm indumatI udavahat upAnayat
sp002-002691_RV_07	AtmasAt cakAra ityarTaH
sp002-002692_RV_07	ayamarTaH tam udvahantam paTi BojakanyAm ityatra na SlizwaH
sp002-002693_RV_07	tasya ajasya raTaturagARAm rajoBiH rUkzARi paruzARi
sp002-002694_RV_07	alakAgrARi yasyAH sA indumatI eva mUrtA mUrtimatI samaravijayalakzmIrbaBUva
sp002-002695_RV_07	etat lABAt anyaH kaH vijayalakzmIlABaH ityarTaH
sp002-002696_RV_07	praTameti
sp002-002697_RV_07	praTamam ajAgamanAtprAgeva parigataH jYAtaH arTaH vivAhavijayarUpo yena saH praTamaparigatArTaH
sp002-002698_RV_07	raGuH vijayinam vijayayuktam SlAGyajAyAsametam sannivfttam pratyAgatam tam ajam aBinandya
sp002-002699_RV_07	tasmin aje upahitakuwumbaH san
sp002-002700_RV_07	sutavinyastapatnIkaH iti yAjYavalkyasmaraRAditi BAvaH
sp002-002701_RV_07	SAntimArge mokzamArga utsukaH aBUt
sp002-002702_RV_07	taTAhi
sp002-002703_RV_07	kulaDurye kulaDuranDare sati sUryavaMSyAH gfhAya gfhasTASramAya na Bavanti
sp002-002704_RV_07	iti mahAmahopADyAya kolAcalamallinATasUriviracitayA saYjIvinIsamAKyayA vyAKyayA sametaH
sp002-002705_RV_07	mahAkaviSrIkAlidAsakftO raGuvaMSe mahAkAvye ajena indumatIpARigrahaRo nAma saptamaH sargaH
